EncoderFlag,DecoderFlag,BitSreamSHA1, BitSreamMD5, InputYUVSHA1, InputYUVMD5, -scrsig, -frms, -numl, -numtl, -sw, -sh, -sw 0, -sh 0, -sw 1, -sh 1, -sw 2, -sh 2, -sw 3, -sh 3, -frout 0, -frout 1, -frout 2, -frout 3, -lqp 0, -lqp 1, -lqp 2, -lqp 3, -rc, -tarb, -ltarb 0, -ltarb 1, -ltarb 2, -ltarb 3, -slcmd 0, -slcnum 0, -slcmd 1, -slcnum 1, -slcmd 2, -slcnum 2, -slcmd 3, -slcnum 3, -slicesize 0, -slicesize 1, -slicesize 2, -slicesize 3, -iper, -thread, -ltr, -db, -denois, -scene, -bgd , -aq,
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 500.00,200.00,300.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  500.00  -ltarb 0  200.00  -ltarb 1  300.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_1_tarb_500.00_slcmd0_0_slcnum0_0_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 500.00,200.00,300.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  500.00  -ltarb 0  200.00  -ltarb 1  300.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_1_tarb_500.00_slcmd0_1_slcnum0_4_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 500.00,200.00,300.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  500.00  -ltarb 0  200.00  -ltarb 1  300.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_1_tarb_500.00_slcmd0_1_slcnum0_7_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 110.00,50.00,60.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  110.00  -ltarb 0  50.00  -ltarb 1  60.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_1_tarb_110.00_slcmd0_0_slcnum0_0_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 110.00,50.00,60.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  110.00  -ltarb 0  50.00  -ltarb 1  60.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_1_tarb_110.00_slcmd0_1_slcnum0_4_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 1, 110.00,50.00,60.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  110.00  -ltarb 0  50.00  -ltarb 1  60.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_1_tarb_110.00_slcmd0_1_slcnum0_7_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 500.00,200.00,300.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  0  -tarb  500.00  -ltarb 0  200.00  -ltarb 1  300.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_0_tarb_500.00_slcmd0_0_slcnum0_0_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 500.00,200.00,300.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  0  -tarb  500.00  -ltarb 0  200.00  -ltarb 1  300.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_0_tarb_500.00_slcmd0_1_slcnum0_4_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 500.00,200.00,300.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  0  -tarb  500.00  -ltarb 0  200.00  -ltarb 1  300.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_0_tarb_500.00_slcmd0_1_slcnum0_7_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 110.00,50.00,60.00,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  0  -tarb  110.00  -ltarb 0  50.00  -ltarb 1  60.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_0_tarb_110.00_slcmd0_0_slcnum0_0_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 110.00,50.00,60.00,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  0  -tarb  110.00  -ltarb 0  50.00  -ltarb 1  60.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_0_tarb_110.00_slcmd0_1_slcnum0_4_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
  1-Encoder failed!--Failed to extracted bit stream!, 3-Decoder cannot be checked!,  NULL,  NULL,  NULL, NULL, 0, 20 , 2, 2, 320, 192, 160,96,320,192,0,0,0,0, 10, 10,10,10, 26, 26, 26, 26, 0, 110.00,50.00,60.00,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, ./welsenc.exe  wbxenc.cfg  -numl 2   layer0.cfg  layer1.cfg    -scrsig 0 -frms  20 				-numtl  2 -frin 0 10 -frin 1 10 -frin 2 10 -frin 3 10 				 -sw 0  160  -sh 0  96  -sw 1  320  -sh 1  192  -sw 2  0  -sh 2  0  -sw 3  0  -sh 3  0  -frout 0  10  -frout 1  10  -frout 2  10  -frout 3  10  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  0  -tarb  110.00  -ltarb 0  50.00  -ltarb 1  60.00  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -slcsize 0  0  -slcsize 1  0  -slcsize 2  0  -slcsize 3  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  1  -aq  1  -bf   TempData/CiscoVT2people_320x192.yuv__scrsig_0_frms_20_numl_2_numtl_2_sw_320_sh_192_frout0_10_lqp0_26_rc_0_tarb_110.00_slcmd0_1_slcnum0_7_slcsz0_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_1_aq_1_welsrubyenc.264 				-drec 0 TempData/CiscoVT2people_320x192.yuv_rec0.yuv -drec 1 TempData/CiscoVT2people_320x192.yuv_rec1.yuv 				-drec 2 TempData/CiscoVT2people_320x192.yuv_rec2.yuv -drec 3 TempData/CiscoVT2people_320x192.yuv_rec3.yuv    -org 0 CiscoVT2people_160X96.yuv   -org 1 /home/Video/TestYUV/CIF/CiscoVT2people_320x192.yuv 
